name,startDate,endDate,league,hyphen,decade
Anibal Acevedo-Vila,2001,2005,congress,true,2000
Ginny Brown-Waite,2003,2011,congress,true,2000
Helen Chenoweth-Hage,1995,2001,congress,true,1990
Lincoln Diaz-Balart,1993,2011,congress,true,1990
Mario Diaz-Balart,2003,2019,congress,true,2000
Jenniffer Gonzalez-Colon,2017,2019,congress,true,2010
Cindy Hyde-Smith,2018,2019,congress,true,2010
Marjorie Margolies-Mezvinsky,1993,1995,congress,true,1990
Juanita Millender-McDonald,1995,2007,congress,true,1990
Carol Moseley-Braun,1993,1999,congress,true,1990
Debbie Mucarsel-Powell,2019,2019,congress,true,2010
Alexandria Ocasio-Cortez,2019,2019,congress,true,2010
Carlos A. Romero-Barcelo,1993,2001,congress,true,1990
Ileana Ros-Lehtinen,1989,2019,congress,true,1980
Lucille Roybal-Allard,1993,2019,congress,true,1990
Carol Shea-Porter,2007,2019,congress,true,2000
Austin Bibens-Dirkx,2017,2018,mlb,true,2010
Isiah Kiner-Falefa,2018,2018,mlb,true,2010
Sean Reid-Foley,2018,2018,mlb,true,2010
Ryan Rowland-Smith,2007,2014,mlb,true,2000
Louis Ken-Kwofie,1996,1996,mls,true,1990
Roland Vargas-Aguilera,2000,2001,mls,true,2000
Tico-Tico,2000,2000,mls,true,2000
Hamisi Amani-Dove,2002,2002,mls,true,2000
Hong Myung-bo,2003,2004,mls,true,2000
Kwame Watson-Siriboe,2010,2015,mls,true,2010
Lee Young-pyo,2012,2013,mls,true,2010
Andrew Jean-Baptiste,2012,2014,mls,true,2010
Nigel Reo-Coker,2013,2015,mls,true,2010
Bradley Wright-Phillips,2013,2018,mls,true,2010
Issey Nakajima-Farran,2014,2014,mls,true,2010
Jérémy Gagnon-Laparé,2014,2015,mls,true,2010
Erik Palmer-Brown,2014,2017,mls,true,2010
Anthony Jackson-Hamel,2014,2019,mls,true,2010
Louis Béland-Goyette,2014,2018,mls,true,2010
Saad Abdul-Salaam,2015,2018,mls,true,2010
Shaun Wright-Phillips,2015,2016,mls,true,2010
Femi Hollinger-Janzen,2016,2017,mls,true,2010
Bismark Adjei-Boateng,2017,2018,mls,true,2010
Bernie Ibini-Isei,2017,2018,mls,true,2010
Chris Odoi-Atsem,2017,2018,mls,true,2010
Kim Kee-hee,2018,2019,mls,true,2010
Ismael Tajouri-Shradi,2018,2019,mls,true,2010
Julian Dunn-Johnson,2018,2018,mls,true,2010
Ricky Lopez-Espin,2018,2018,mls,true,2010
Andrew Wheeler-Omiunu,2018,2018,mls,true,2010
Hwang In-beom,2019,2019,mls,true,2010
Zachary Brault-Guillard,2019,2019,mls,true,2010
Zaid Abdul-Aziz,1969,1978,nba,true,1960
Kareem Abdul-Jabbar,1970,1989,nba,true,1970
Mahmoud Abdul-Rauf,1991,2001,nba,true,1990
Tariq Abdul-Wahad,1998,2003,nba,true,1990
Shareef Abdur-Rahim,1997,2008,nba,true,1990
DeVaughn Akoon-Purcell,2019,2019,nba,true,2010
Keita Bates-Diop,2019,2019,nba,true,2010
Ruben Boumtje-Boumtje,2002,2004,nba,true,2000
Kentavious Caldwell-Pope,2014,2019,nba,true,2010
Michael Carter-Williams,2014,2019,nba,true,2010
Willie Cauley-Stein,2016,2019,nba,true,2010
Bryce Dejean-Jones,2016,2016,nba,true,2010
Chris Douglas-Roberts,2009,2015,nba,true,2000
Khalid El-Amin,2001,2001,nba,true,2000
Dorian Finney-Smith,2017,2019,nba,true,2010
Marcus Georges-Hunt,2017,2018,nba,true,2010
Shai Gilgeous-Alexander,2019,2019,nba,true,2010
Rondae Hollis-Jefferson,2016,2019,nba,true,2010
Didier Ilunga-Mbenga,2005,2011,nba,true,2000
Darius Johnson-Odom,2013,2014,nba,true,2010
Michael Kidd-Gilchrist,2013,2019,nba,true,2010
Timothe Luwawu-Cabarrot,2017,2019,nba,true,2010
Trey McKinney-Jones,2018,2018,nba,true,2010
Pops Mensah-Bonsu,2007,2011,nba,true,2000
Naz Mitrou-Long,2018,2019,nba,true,2010
Xavier Rathan-Mayes,2018,2018,nba,true,2010
Ha Seung-Jin,2005,2006,nba,true,2000
Taurean Waller-Prince,2017,2019,nba,true,2010
Karim Abdul-Jabbar,1996,2000,nfl,true,1990
Isa Abdul-Quddus,2011,2016,nfl,true,2010
Jude Adjei-Barimah,2015,2016,nfl,true,2010
Ikaika Alama-Francis,2007,2011,nfl,true,2000
Mo Alie-Cox,2018,2018,nfl,true,2010
Cameron Artis-Payne,2015,2018,nfl,true,2010
Tully Banta-Cain,2003,2010,nfl,true,2000
McLeod Bethel-Thompson,2012,2014,nfl,true,2010
Briean Boddy-Calhoun,2016,2018,nfl,true,2010
Ha Ha Clinton-Dix,2014,2018,nfl,true,2010
Da'Mon Cromartie-Smith,2011,2013,nfl,true,2010
Yannick Cudjoe-Virgil,2015,2015,nfl,true,2010
Norbert Davidds-Garrido,1996,2000,nfl,true,1990
David Diaz-Infante,1987,2001,nfl,true,1980
Evan Dietrich-Smith,2009,2018,nfl,true,2000
Laurent Duvernay-Tardif,2014,2018,nfl,true,2010
Hicham El-Mashtoub,1995,1996,nfl,true,1990
John Franklin-Myers,2018,2018,nfl,true,2010
Chris Fuamatu-Ma'afala,1998,2004,nfl,true,1990
Jerrol Garcia-Williams,2017,2017,nfl,true,2010
Akbar Gbaja-Biamila,2003,2007,nfl,true,2000
Kabeer Gbaja-Biamila,2000,2008,nfl,true,2000
Tay Glover-Wright,2014,2015,nfl,true,2010
Dorial Green-Beckham,2015,2016,nfl,true,2010
BenJarvus Green-Ellis,2008,2013,nfl,true,2000
Kamu Grugier-Hill,2016,2018,nfl,true,2010
Ali Haji-Sheikh,1983,1987,nfl,true,1980
Josh Harvey-Clemons,2017,2018,nfl,true,2010
Ricky Havill-Heimuli,2014,2014,nfl,true,2010
Darrius Heyward-Bey,2009,2018,nfl,true,2000
Nate Hobgood-Chittick,1999,2002,nfl,true,1990
DeAndre Houston-Carson,2016,2018,nfl,true,2010
Stanley Jean-Baptiste,2014,2017,nfl,true,2010
Garland Jean-Batiste,1987,1987,nfl,true,1980
Ricky Jean-Francois,2009,2018,nfl,true,2000
Max Jean-Gilles,2007,2010,nfl,true,2000
Tony Jerod-Eddie,2012,2016,nfl,true,2010
Maurice Jones-Drew,2006,2014,nfl,true,2000
Harold Jones-Quartey,2015,2016,nfl,true,2010
Henry Krieger-Coble,2016,2017,nfl,true,2010
Chris Lewis-Harris,2012,2016,nfl,true,2010
Kapron Lewis-Moore,2014,2015,nfl,true,2010
Al Louis-Jean,2014,2014,nfl,true,2010
Justin March-Lillard,2016,2018,nfl,true,2010
Nick Mike-Mayer,1973,1982,nfl,true,1970
Steve Mike-Mayer,1975,1980,nfl,true,1970
Herb Mul-Key,1972,1974,nfl,true,1970
Rakeem Nunez-Roches,2015,2018,nfl,true,2010
Akwasi Owusu-Ansah,2010,2013,nfl,true,2010
Kevin Pierre-Louis,2014,2018,nfl,true,2010
Jason Pierre-Paul,2010,2018,nfl,true,2010
Jalen Reeves-Maybin,2017,2018,nfl,true,2010
Roy Robertson-Harris,2017,2018,nfl,true,2010
Nickell Robey-Coleman,2013,2018,nfl,true,2010
Dominique Rodgers-Cromartie,2008,2018,nfl,true,2000
Jimmy Saddler-McQueen,2010,2012,nfl,true,2010
Ricky Seals-Jones,2017,2018,nfl,true,2010
Austin Seferian-Jenkins,2014,2018,nfl,true,2010
Mike Sims-Walker,2008,2011,nfl,true,2000
JuJu Smith-Schuster,2017,2018,nfl,true,2010
LaRod Stephens-Howling,2009,2013,nfl,true,2000
Xavier Su'a-Filo,2014,2018,nfl,true,2010
Daniel Te'o-Nesheim,2010,2013,nfl,true,2010
Ricky Tjong-A-Tjoe,2014,2014,nfl,true,2010
Marquez Valdes-Scantling,2018,2018,nfl,true,2010
Xavier Woodson-Luster,2017,2018,nfl,true,2010
Jahi Word-Daniels,2009,2009,nfl,true,2000
Blidi Wreh-Wilson,2013,2018,nfl,true,2010
Phil Yeboah-Kodie,1996,1996,nfl,true,1990
Jaret Anderson-Dolan,2019,2019,nhl,true,2010
Zach Aston-Reese,2018,2019,nhl,true,2010
Nicolas Aube-Kubel,2019,2019,nhl,true,2010
Chris Beckford-Tseu,2008,2008,nhl,true,2000
Oliver Ekman-Larsson,2011,2019,nhl,true,2010
Jean-Luc Grand-Pierre,1999,2004,nhl,true,1990
Joshua Ho-Sang,2017,2019,nhl,true,2010
Pierre-Luc Letourneau-Leblond,2009,2014,nhl,true,2000
Ryan Nugent-Hopkins,2012,2019,nhl,true,2010
Devante Smith-Pelly,2012,2019,nhl,true,2010
Tessa Florio-Gavilsky,2016,2016,nwls,true,2010
Amandine Pierre-Louis,2018,2018,nwls,true,2010
Jayne Appel-Marinelli,2010,2016,wnba,true,2010
Suzy Batkovic-Brown,2005,2009,wnba,true,2000
Cass Bauer-Bilodeau,1999,2002,wnba,true,1990
Jill Chapman-Daily,2002,2002,wnba,true,2000
Karima Christmas-Kelly,2011,2018,wnba,true,2010
Cassandra Crumpton-Moorer,1997,1997,wnba,true,1990
Tanae Davis-Cain,2009,2009,wnba,true,2000
Clarissa Davis-Wrightsil,1999,1999,wnba,true,1990
Skylar Diggins-Smith,2013,2018,wnba,true,2010
Shyra Ely-Gash,2005,2011,wnba,true,2000
Marie Ferdinand-Harris,2001,2011,wnba,true,2000
Briana Gilbreath-Butler,2012,2015,wnba,true,2010
Alexis Gray-Lawson,2011,2012,wnba,true,2010
Vedrana Grgin-Fonseca,2000,2002,wnba,true,2000
Aneika Henry-Morello,2012,2017,wnba,true,2010
Myisha Hines-Allen,2018,2018,wnba,true,2010
Kedra Holland-Corn,1999,2006,wnba,true,1990
Joy Holmes-Harris,2000,2000,wnba,true,2000
Susie Hopson-Shelton,1997,1997,wnba,true,1990
Tiffany Jackson-Jones,2007,2017,wnba,true,2000
Anete Jekabsone-Zogota,2009,2014,wnba,true,2000
Jae Kingi-Cross,2001,2006,wnba,true,2000
MerleLynn Lange-Harris,1999,1999,wnba,true,1990
Edwige Lawson-Wade,2005,2010,wnba,true,2000
Nancy Lieberman-Cline,1997,2008,wnba,true,1990
Hamchetou Maiga-Ba,2002,2010,wnba,true,2000
Imani McGee-Stafford,2016,2018,wnba,true,2010
Taj McWilliams-Franklin,1999,2012,wnba,true,1990
DeLisha Milton-Jones,1999,2015,wnba,true,1990
Judy Mosley-McAfee,1997,1997,wnba,true,1990
Kaleena Mosqueda-Lewis,2015,2018,wnba,true,2010
Astou Ndiaye-Diatta,1999,2007,wnba,true,1990
Jasmina Perazic-Gipe,1997,1997,wnba,true,1990
Jeanette Pohlen-Mavunga,2011,2017,wnba,true,2010
Nayo Raincock-Ekunwe,2017,2017,wnba,true,2010
Tierra Ruffin-Pratt,2013,2018,wnba,true,2010
Trisha Stafford-Odom,2001,2002,wnba,true,2000
Jung Sun-Min,2003,2003,wnba,true,2000
Tammy Sutton-Brown,2001,2012,wnba,true,2000
Robin Threatt-Elliott,2000,2000,wnba,true,2000
Itoro Umoh-Coleman,2003,2003,wnba,true,2000
Shatori Walker-Kimbrough,2017,2018,wnba,true,2010
Avery Warley-Talbert,2012,2016,wnba,true,2010
Val Whiting-Raymond,1999,2002,wnba,true,1990
Adrian Williams-Strong,2000,2008,wnba,true,2000
Lindsay Wisdom-Hylton,2009,2012,wnba,true,2000
Sophia Young-Malcolm,2006,2015,wnba,true,2000