Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
1,Jon Busch\Jon-Busch,us USA,GK,Chicago Fire,31,30,30,0,2700,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2,Jimmy Conrad\Jimmy-Conrad,us USA,DF,Kansas City Wizards,30,30,30,0,2700,90,6,0,0,0,25,4,0,7,0.20,0.20,0.20,0.20,0.23,0.83,0.13
3,Kevin Hartman\Kevin-Hartman,us USA,GK,Kansas City Wizards,33,30,30,0,2700,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Nick Rimando\Nick-Rimando,us USA,GK,Real Salt Lake,28,30,30,0,2700,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03
5,Jay Heaps\Jay-Heaps,us USA,MFDF,New England Revolution,31,30,30,0,2700,90,0,0,0,0,23,5,0,4,0.00,0.00,0.00,0.00,0.13,0.77,0.17
6,Joe Cannon\Joe-Cannon,us USA,GK,San Jose Earthquakes,33,30,30,0,2700,90,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07
7,Clyde Simms\Clyde-Simms,us USA,MF,D.C. United,25,30,30,0,2697,90,2,1,0,0,30,5,0,11,0.07,0.10,0.07,0.10,0.37,1.00,0.17
8,Brian Carroll\Brian-Carroll,us USA,MF,Columbus Crew,26,30,30,0,2692,90,1,0,0,0,35,5,0,3,0.03,0.03,0.03,0.03,0.10,1.17,0.17
9,Chris Klein\Chris-Klein,us USA,DFMF,LA Galaxy,32,30,30,0,2685,90,1,4,0,0,24,1,0,6,0.03,0.17,0.03,0.17,0.20,0.80,0.03
10,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,25,30,30,0,2683,89,3,2,0,0,38,5,0,22,0.10,0.17,0.10,0.17,0.74,1.27,0.17
11,Kenny Cooper\Kenny-Cooper,us USA,FW,FC Dallas,23,30,30,0,2622,87,18,3,4,4,36,1,0,60,0.62,0.72,0.48,0.58,2.06,1.24,0.03
12,Nat Borchers\Nat-Borchers,us USA,DF,Real Salt Lake,26,29,29,0,2610,90,0,0,0,0,24,4,0,1,0.00,0.00,0.00,0.00,0.03,0.83,0.14
13,Bobby Boswell\Bobby-Boswell,us USA,DF,Houston Dynamo,24,29,29,0,2610,90,1,1,0,0,40,6,0,3,0.03,0.07,0.03,0.07,0.10,1.38,0.21
14,William Hesmer\William-Hesmer,us USA,GK,Columbus Crew,26,29,29,0,2610,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10
15,Michael Harrington\Michael-Harrington,us USA,MFDF,Kansas City Wizards,22,30,30,0,2597,87,2,2,0,0,32,4,0,4,0.07,0.14,0.07,0.14,0.14,1.11,0.14
16,Chris Wingert\Chris-Wingert,us USA,DF,Real Salt Lake,25,29,29,0,2589,89,0,2,0,0,23,4,1,5,0.00,0.07,0.00,0.07,0.17,0.80,0.17
17,Jack Jewsbury\Jack-Jewsbury,us USA,MFDF,Kansas City Wizards,26,29,29,0,2548,88,3,5,2,2,33,6,0,18,0.11,0.28,0.04,0.21,0.64,1.17,0.21
18,Darío Sala\Dario-Sala,ar ARG,GK,FC Dallas,33,28,28,0,2520,90,0,0,0,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11
19,Michael Parkhurst\Michael-Parkhurst,us USA,DF,New England Revolution,24,28,28,0,2520,90,0,1,0,0,9,0,0,0,0.00,0.04,0.00,0.04,0.00,0.32,0.00
20,Jon Conway\Jon-Conway,us USA,GK,New York Red Bulls,30,28,28,0,2520,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
21,Bakary Soumaré\Bakary-Soumare,ml MLI,DF,Chicago Fire,22,28,28,0,2514,90,0,0,0,0,39,10,0,3,0.00,0.00,0.00,0.00,0.11,1.40,0.36
22,Javier Morales\Javier-Morales,ar ARG,MF,Real Salt Lake,28,29,29,0,2511,87,6,11,0,1,49,3,0,23,0.22,0.61,0.22,0.61,0.82,1.76,0.11
23,Chad Marshall\Chad-Marshall,us USA,DF,Columbus Crew,23,29,29,0,2485,86,4,2,0,0,26,2,0,7,0.14,0.22,0.14,0.22,0.25,0.94,0.07
24,Matt Reis\Matt-Reis,us USA,GK,New England Revolution,32,28,28,0,2485,89,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
25,Jim Brennan\Jim-Brennan,ca CAN,MFDF,Toronto FC,30,28,27,1,2462,88,1,2,0,0,18,5,0,7,0.04,0.11,0.04,0.11,0.26,0.66,0.18
26,Danny O'Rourke\Danny-ORourke,us USA,DF,Columbus Crew,24,28,28,0,2452,88,0,2,0,0,29,5,1,0,0.00,0.07,0.00,0.07,0.00,1.06,0.22
27,Jason Hernandez\Jason-Hernandez,pr PUR,DF,San Jose Earthquakes,24,28,28,0,2451,88,0,1,0,0,29,6,1,1,0.00,0.04,0.00,0.04,0.04,1.06,0.26
28,Kevin Goldthwaite\Kevin-Goldthwaite,us USA,DF,New York Red Bulls,25,28,28,0,2438,87,2,2,0,0,42,7,1,6,0.07,0.15,0.07,0.15,0.22,1.55,0.30
29,Jeff Larentowicz\Jeff-Larentowicz,us USA,DFMF,New England Revolution,24,28,28,0,2437,87,4,2,0,0,42,5,1,12,0.15,0.22,0.15,0.22,0.44,1.55,0.22
30,Francisco Mendoza\Francisco-Mendoza,mx MEX,MF,Chivas USA,22,28,28,0,2434,87,0,1,0,0,23,2,1,4,0.00,0.04,0.00,0.04,0.15,0.85,0.11
31,Drew Moor\Drew-Moor,us USA,DF,FC Dallas,24,27,27,0,2430,90,2,1,0,0,17,5,0,5,0.07,0.11,0.07,0.11,0.19,0.63,0.19
32,Logan Pause\Logan-Pause,us USA,MF,Chicago Fire,26,27,27,0,2430,90,0,0,0,0,23,1,0,1,0.00,0.00,0.00,0.00,0.04,0.85,0.04
33,Alejandro Moreno\Alejandro-Moreno,ve VEN,FW,Columbus Crew,28,27,27,0,2428,90,9,2,0,1,34,1,0,19,0.33,0.41,0.33,0.41,0.70,1.26,0.04
34,Carl Robinson\Carl-Robinson,wal WAL,MF,Toronto FC,31,27,27,0,2426,90,1,1,0,0,49,4,0,3,0.04,0.07,0.04,0.07,0.11,1.82,0.15
35,Bryan Namoff\Bryan-Namoff,us USA,DFMF,D.C. United,28,27,27,0,2398,89,1,0,0,0,27,6,2,4,0.04,0.04,0.04,0.04,0.15,1.01,0.30
36,Cuauhtémoc Blanco\Cuauhtemoc-Blanco,mx MEX,FW,Chicago Fire,35,27,27,0,2398,89,7,6,3,3,11,6,0,26,0.26,0.49,0.15,0.38,0.98,0.41,0.23
37,Nick LaBrocca\Nick-LaBrocca,us USA,MFDF,Colorado Rapids,23,30,28,2,2396,80,2,0,0,0,33,3,0,11,0.08,0.08,0.08,0.08,0.41,1.24,0.11
38,Sean Franklin\Sean-Franklin,us USA,DF,LA Galaxy,22,27,26,1,2385,88,0,1,0,0,22,3,0,2,0.00,0.04,0.00,0.04,0.08,0.83,0.11
39,Shalrie Joseph\Shalrie-Joseph,gd GRN,DFMF,New England Revolution,29,27,27,0,2384,88,1,0,0,1,47,5,1,12,0.04,0.04,0.04,0.04,0.45,1.77,0.23
40,Brian Mullan\Brian-Mullan,us USA,MF,Houston Dynamo,29,30,28,2,2343,78,3,3,0,0,34,2,0,8,0.12,0.23,0.12,0.23,0.31,1.31,0.08
41,Chris Albright\Chris-Albright,us USA,DF,New England Revolution,29,26,26,0,2340,90,0,0,0,0,17,3,0,2,0.00,0.00,0.00,0.00,0.08,0.65,0.12
42,Robbie Rogers\Robbie-Rogers,us USA,MFDF,Columbus Crew,20,27,26,1,2334,86,6,3,0,0,30,2,0,33,0.23,0.35,0.23,0.35,1.27,1.16,0.08
43,Wade Barrett\Wade-Barrett,us USA,DF,Houston Dynamo,31,26,26,0,2328,90,0,0,0,0,18,3,0,1,0.00,0.00,0.00,0.00,0.04,0.70,0.12
44,Colin Clark\Colin-Clark,us USA,MF,Colorado Rapids,23,29,26,3,2325,80,5,2,0,0,29,6,1,17,0.19,0.27,0.19,0.27,0.66,1.12,0.27
45,Ronnie O'Brien\Ronnie-OBrien,ie IRL,MF,San Jose Earthquakes,29,28,28,0,2286,82,4,6,0,0,38,4,0,25,0.16,0.39,0.16,0.39,0.98,1.50,0.16
46,Claudio López\Claudio-Lopez,ar ARG,FW,Kansas City Wizards,33,28,25,3,2265,81,6,5,2,2,10,3,0,23,0.24,0.44,0.16,0.36,0.91,0.40,0.12
47,Brandon Prideaux\Brandon-Prideaux,us USA,DF,Chicago Fire,31,27,27,0,2254,84,0,0,0,0,36,6,1,1,0.00,0.00,0.00,0.00,0.04,1.44,0.28
48,Pablo Ricchetti\Pablo-Ricchetti,ar ARG,DFMF,FC Dallas,31,27,25,2,2252,83,0,3,0,0,34,6,2,2,0.00,0.12,0.00,0.12,0.08,1.36,0.32
49,David Beckham\David-Beckham,eng ENG,MF,LA Galaxy,32,25,25,0,2248,90,5,8,0,0,14,6,0,12,0.20,0.52,0.20,0.52,0.48,0.56,0.24
50,Justin Mapp\Justin-Mapp,us USA,MF,Chicago Fire,23,30,26,4,2229,74,2,8,0,0,13,1,0,21,0.08,0.40,0.08,0.40,0.85,0.52,0.04
51,Dave van den Bergh\Dave-van-den-Bergh,nl NED,MFFW,New York Red Bulls,31,26,25,1,2228,86,7,3,0,0,16,3,1,19,0.28,0.40,0.28,0.40,0.77,0.65,0.16
52,Devon McTavish\Devon-McTavish,us USA,DFMF,D.C. United,23,26,25,1,2223,86,1,2,0,0,29,6,0,5,0.04,0.12,0.04,0.12,0.20,1.17,0.24
53,Edson Buddle\Edson-Buddle,us USA,FW,LA Galaxy,26,27,26,1,2218,82,15,3,0,0,28,2,0,38,0.61,0.73,0.61,0.73,1.54,1.14,0.08
54,Guillermo Barros Schelotto\Guillermo-Barros-Schelotto,ar ARG,MFFW,Columbus Crew,34,27,27,0,2216,82,7,16,4,4,25,3,0,27,0.28,0.93,0.12,0.77,1.10,1.02,0.12
55,Eric Denton\Eric-Denton,us USA,DF,San Jose Earthquakes,29,26,26,0,2209,85,0,1,0,0,23,5,0,1,0.00,0.04,0.00,0.04,0.04,0.94,0.20
56,Ricardo Clark\Ricardo-Clark,us USA,MF,Houston Dynamo,24,25,25,0,2205,88,2,0,0,0,32,6,0,9,0.08,0.08,0.08,0.08,0.37,1.31,0.24
57,Seth Stammler\Seth-Stammler,us USA,DFMF,New York Red Bulls,26,26,26,0,2195,84,1,2,0,0,37,5,0,9,0.04,0.12,0.04,0.12,0.37,1.52,0.21
58,Greg Sutton\Greg-Sutton,ca CAN,GK,Toronto FC,30,24,24,0,2160,90,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04
59,André Rocha\Andre-Rocha,br BRA,DFMF,FC Dallas,23,27,26,1,2151,80,3,5,0,0,52,6,1,21,0.13,0.33,0.13,0.33,0.88,2.18,0.29
60,Nick Garcia\Nick-Garcia,us USA,DF,San Jose Earthquakes,28,24,24,0,2151,90,0,0,0,0,27,8,0,0,0.00,0.00,0.00,0.00,0.00,1.13,0.33
61,Luciano Emílio\Luciano-Emilio,br BRA,FW,D.C. United,29,27,25,2,2141,79,11,3,0,0,20,3,0,39,0.46,0.59,0.46,0.59,1.64,0.84,0.13
62,Rohan Ricketts\Rohan-Ricketts,eng ENG,MF,Toronto FC,25,27,26,1,2139,79,4,4,0,1,34,0,0,19,0.17,0.34,0.17,0.34,0.80,1.43,0.00
63,Jesse Marsch\Jesse-Marsch,us USA,MF,Chivas USA,34,25,24,1,2138,86,4,0,0,0,38,5,0,6,0.17,0.17,0.17,0.17,0.25,1.60,0.21
64,Landon Donovan\Landon-Donovan,us USA,MFFW,LA Galaxy,25,25,23,2,2136,85,20,6,4,4,18,4,0,40,0.84,1.10,0.67,0.93,1.69,0.76,0.17
65,Frankie Hejduk\Frankie-Hejduk,us USA,MFDF,Columbus Crew,33,24,24,0,2135,89,1,2,0,0,28,9,1,11,0.04,0.13,0.04,0.13,0.46,1.18,0.42
66,Marvell Wynne\Marvell-Wynne,us USA,DF,Toronto FC,21,24,24,0,2115,88,2,2,0,0,17,1,0,5,0.09,0.17,0.09,0.17,0.21,0.72,0.04
67,Gonzalo Martínez\Gonzalo-Martinez,co COL,DF,D.C. United,32,26,22,4,2102,81,1,0,0,0,29,6,1,2,0.04,0.04,0.04,0.04,0.09,1.24,0.30
68,Pat Onstad\Pat-Onstad,ca CAN,GK,Houston Dynamo,40,24,24,0,2098,87,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09
69,Brian Ching\Brian-Ching,us USA,FW,Houston Dynamo,29,25,24,1,2096,84,13,5,0,1,34,2,0,29,0.56,0.77,0.56,0.77,1.25,1.46,0.09
70,Blake Wagner\Blake-Wagner,us USA,DFMF,FC Dallas,20,24,23,1,2068,86,0,0,0,0,22,2,0,0,0.00,0.00,0.00,0.00,0.00,0.96,0.09
71,Paulo Nagamura\Paulo-Nagamura,br BRA,MF,Chivas USA,24,24,24,0,2062,86,2,2,0,0,47,8,1,7,0.09,0.17,0.09,0.17,0.31,2.05,0.39
72,James Riley\James-Riley,us USA,DF,San Jose Earthquakes,25,24,23,1,2055,86,0,0,0,0,24,6,2,4,0.00,0.00,0.00,0.00,0.18,1.05,0.35
73,Greg Vanney\Greg-Vanney,us USA,DF,LA Galaxy,33,25,24,1,2050,82,0,0,0,0,27,5,0,3,0.00,0.00,0.00,0.00,0.13,1.19,0.22
74,Richard Mulrooney\Richard-Mulrooney,us USA,MFDF,Houston Dynamo,31,23,22,1,2025,88,0,0,0,0,19,3,0,2,0.00,0.00,0.00,0.00,0.09,0.84,0.13
75,Jeff Parke\Jeff-Parke,us USA,DF,New York Red Bulls,25,24,23,1,2025,84,0,0,0,0,25,3,1,3,0.00,0.00,0.00,0.00,0.13,1.11,0.18
76,Tyrone Marshall\Tyrone-Marshall,jm JAM,DF,Toronto FC,33,24,23,1,2019,84,0,0,0,0,16,4,0,0,0.00,0.00,0.00,0.00,0.00,0.71,0.18
77,Davy Arnaud\Davy-Arnaud,us USA,MFFW,Kansas City Wizards,27,24,22,2,2019,84,7,1,0,0,24,5,0,17,0.31,0.36,0.31,0.36,0.76,1.07,0.22
78,Atiba Harris\Atiba-Harris,kn SKN,FWMF,Chivas USA,23,28,23,5,2014,72,3,5,0,0,73,8,0,15,0.13,0.36,0.13,0.36,0.67,3.26,0.36
79,Gonzalo Segares\Gonzalo-Segares,cr CRC,DF,Chicago Fire,25,23,23,0,2013,88,2,1,0,0,40,8,0,7,0.09,0.13,0.09,0.13,0.31,1.79,0.36
80,Jámison Olave\Jamison-Olave,co COL,DF,Real Salt Lake,28,23,23,0,2006,87,2,0,0,0,33,9,0,4,0.09,0.09,0.09,0.09,0.18,1.48,0.40
81,Pablo Mastroeni\Pablo-Mastroeni,us USA,MF,Colorado Rapids,31,25,23,2,2004,80,0,0,0,0,33,5,0,1,0.00,0.00,0.00,0.00,0.04,1.48,0.22
82,Marco Vélez\Marco-Velez,pr PUR,DF,Toronto FC,27,23,23,0,1973,86,2,0,0,0,23,3,2,4,0.09,0.09,0.09,0.09,0.18,1.05,0.23
83,Santino Quaranta\Santino-Quaranta,us USA,MFFW,D.C. United,23,27,23,4,1963,73,5,3,0,0,19,7,0,13,0.23,0.37,0.23,0.37,0.60,0.87,0.32
84,Chris Rolfe\Chris-Rolfe,us USA,FWMF,Chicago Fire,25,26,23,3,1960,75,9,2,0,0,18,1,0,24,0.41,0.51,0.41,0.51,1.10,0.83,0.05
85,Duilio Davino\Duilio-Davino,mx MEX,DF,FC Dallas,31,23,22,1,1958,85,0,0,0,0,14,3,0,2,0.00,0.00,0.00,0.00,0.09,0.64,0.14
86,Juan Pablo Ángel\Juan-Pablo-Angel,co COL,FW,New York Red Bulls,32,23,22,1,1955,85,14,2,1,2,23,2,0,41,0.64,0.74,0.60,0.69,1.89,1.06,0.09
87,Dwayne De Rosario\Dwayne-De-Rosario,ca CAN,MFFW,Houston Dynamo,29,24,22,2,1948,81,7,2,2,2,25,6,0,34,0.32,0.42,0.23,0.32,1.57,1.16,0.28
88,Sacha Kljestan\Sacha-Kljestan,us USA,MF,Chivas USA,22,22,21,1,1941,88,5,4,0,0,39,7,1,16,0.23,0.42,0.23,0.42,0.74,1.81,0.37
89,Steve Cronin\Steve-Cronin,us USA,GK,LA Galaxy,24,22,22,0,1935,88,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Adrian Serioux\Adrian-Serioux,ca CAN,DF,FC Dallas,28,24,24,0,1926,80,0,3,0,0,22,3,1,0,0.00,0.14,0.00,0.14,0.00,1.03,0.19
91,Ramiro Corrales\Ramiro-Corrales,us USA,DFMF,San Jose Earthquakes,30,22,22,0,1895,86,2,3,0,0,29,5,0,7,0.09,0.24,0.09,0.24,0.33,1.38,0.24
92,John Thorrington\John-Thorrington,us USA,MF,Chicago Fire,28,23,21,2,1881,82,5,2,0,0,37,8,0,11,0.24,0.33,0.24,0.33,0.53,1.77,0.38
93,Jaime Moreno\Jaime-Moreno,bo BOL,FW,D.C. United,34,25,21,4,1861,74,10,6,4,5,17,3,1,19,0.48,0.77,0.29,0.58,0.92,0.82,0.19
94,Facundo Erpen\Facundo-Erpen,ar ARG,DF,Colorado Rapids,24,23,21,2,1854,81,1,0,0,0,21,2,1,4,0.05,0.05,0.05,0.05,0.19,1.02,0.15
95,Eddie Gaven\Eddie-Gaven,us USA,GKMF,Columbus Crew,21,24,22,2,1848,77,3,3,0,0,11,2,0,12,0.15,0.29,0.15,0.29,0.58,0.54,0.10
96,Amado Guevara\Amado-Guevara,hn HON,MF,Toronto FC,31,21,20,1,1819,87,4,4,0,1,32,5,1,19,0.20,0.40,0.20,0.40,0.94,1.58,0.30
97,Marc Burch\Marc-Burch,us USA,DF,D.C. United,23,28,21,7,1817,65,0,2,0,0,25,7,1,5,0.00,0.10,0.00,0.10,0.25,1.24,0.40
98,Marcelo Saragosa\Marcelo-Saragosa,br BRA,MF,FC Dallas,26,25,23,2,1809,72,1,1,0,0,41,9,1,4,0.05,0.10,0.05,0.10,0.20,2.04,0.50
99,Brad Davis\Brad-Davis,us USA,MF,Houston Dynamo,26,26,20,6,1800,69,3,6,0,0,21,2,0,16,0.15,0.45,0.15,0.45,0.80,1.05,0.10
100,Brad Evans\Brad-Evans,us USA,FWMF,Columbus Crew,22,26,18,8,1756,68,5,1,0,0,12,3,1,13,0.26,0.31,0.26,0.31,0.67,0.62,0.21
101,Wilman Conde\Wilman-Conde,co COL,DF,Chicago Fire,25,22,19,3,1750,80,1,1,0,0,39,2,0,1,0.05,0.10,0.05,0.10,0.05,2.01,0.10
102,Steve Ralston\Steve-Ralston,us USA,MF,New England Revolution,33,21,20,1,1715,82,8,5,1,1,13,2,0,13,0.42,0.68,0.37,0.63,0.68,0.68,0.10
103,Ned Grabavoy\Ned-Grabavoy,us USA,MF,San Jose Earthquakes,24,24,21,3,1709,71,0,1,0,0,21,2,0,2,0.00,0.05,0.00,0.05,0.11,1.11,0.11
104,Terry Cooke\Terry-Cooke,eng ENG,MF,Colorado Rapids,31,24,18,6,1698,71,1,10,0,1,5,2,0,8,0.05,0.58,0.05,0.58,0.42,0.27,0.11
105,Fred Carreiro\Fred-Carreiro,br BRA,MFFW,D.C. United,28,23,20,3,1690,74,2,1,0,0,50,4,0,12,0.11,0.16,0.11,0.16,0.64,2.66,0.21
106,Jonathan Bornstein\Jonathan-Bornstein,us USA,MFDF,Chivas USA,23,21,19,2,1679,80,2,1,0,0,22,3,0,6,0.11,0.16,0.11,0.16,0.32,1.18,0.16
107,Dema Kovalenko\Dema-Kovalenko,ua UKR,MF,Real Salt Lake,30,22,19,3,1668,76,1,2,1,1,30,7,0,5,0.05,0.16,0.00,0.11,0.27,1.62,0.38
108,Mike Magee\Mike-Magee,us USA,MFFW,New York Red Bulls,23,26,18,8,1665,64,5,0,1,1,25,2,0,19,0.27,0.27,0.22,0.22,1.03,1.35,0.11
109,Sainey Nyassi\Sainey-Nyassi,gm GAM,MF,New England Revolution,19,25,18,7,1661,66,2,1,0,0,31,7,0,13,0.11,0.16,0.11,0.16,0.70,1.68,0.38
110,Diego Gutiérrez\Diego-Gutierrez,us USA,DFMF,Chicago Fire,35,20,19,1,1660,83,0,1,0,0,19,7,0,1,0.00,0.05,0.00,0.05,0.05,1.03,0.38
111,Bobby Burling\Bobby-Burling,us USA,DF,Chivas USA,23,20,18,2,1659,83,0,0,0,0,20,3,0,1,0.00,0.00,0.00,0.00,0.05,1.08,0.16
112,Stuart Holden\Stuart-Holden,us USA,MF,Houston Dynamo,22,27,18,9,1652,61,3,3,0,1,26,3,0,15,0.16,0.33,0.16,0.33,0.82,1.42,0.16
113,Omar Cummings\Omar-Cummings,jm JAM,FW,Colorado Rapids,25,26,17,9,1629,63,6,4,0,0,19,1,0,27,0.33,0.55,0.33,0.55,1.49,1.05,0.06
114,Andy Williams\Andy-Williams,jm JAM,MF,Real Salt Lake,30,26,16,10,1602,62,1,2,0,0,28,0,1,10,0.06,0.17,0.06,0.17,0.56,1.57,0.06
115,Mauricio Castro\Mauricio-Castro,hn HON,MF,New England Revolution,26,24,22,2,1584,66,0,3,0,0,16,1,1,20,0.00,0.17,0.00,0.17,1.14,0.91,0.11
116,Eddie Robinson\Eddie-Robinson,us USA,DF,Houston Dynamo,29,20,19,1,1570,79,0,0,0,0,28,6,2,4,0.00,0.00,0.00,0.00,0.23,1.61,0.46
117,Kenny Deuchar\Kenny-Deuchar,sco SCO,FW,Real Salt Lake,27,29,18,11,1557,54,3,2,0,0,29,4,0,18,0.17,0.29,0.17,0.29,1.04,1.68,0.23
118,Shavar Thomas\Shavar-Thomas,jm JAM,DF,Chivas USA,27,19,18,1,1553,82,0,0,0,0,24,7,0,2,0.00,0.00,0.00,0.00,0.12,1.39,0.41
119,Dane Richards\Dane-Richards,jm JAM,MFFW,New York Red Bulls,24,23,18,5,1553,68,3,5,0,0,35,2,0,11,0.17,0.46,0.17,0.46,0.64,2.03,0.12
120,Ryan Cochrane\Ryan-Cochrane,us USA,DF,San Jose Earthquakes,24,19,17,2,1535,81,2,1,0,0,27,5,0,2,0.12,0.18,0.12,0.18,0.12,1.58,0.29
121,Ryan Johnson\Ryan-Johnson,jm JAM,FWMF,San Jose Earthquakes,23,28,13,15,1535,55,5,1,0,0,31,2,0,19,0.29,0.35,0.29,0.35,1.11,1.82,0.12
122,Bouna Coundoul\Bouna-Coundoul,sn SEN,GK,Colorado Rapids,25,17,17,0,1530,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Zach Wells\Zach-Wells,us USA,GK,D.C. United,26,17,17,0,1530,90,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
